Project #,Phase,Estimating ID,Block ID,Sample,Type,Orientation,Ornament,Page Label,Space,Comments,Layer,Checkmark,# Units
,Base Bid,,,,,,None,NORTH AND SOUTH,N-1,BK1,Block Tags,Unchecked,1
,Base Bid,,,,,,None,NORTH AND SOUTH,N-1,BK1,Block Tags,Unchecked,1
,Base Bid,,,,,,None,NORTH AND SOUTH,N-5,BK1,Block Tags,Unchecked,1
,Base Bid,,,,,,None,NORTH AND SOUTH,N-5,BK1,Block Tags,Unchecked,1
,Base Bid,,,,,,None,NORTH AND SOUTH,S-5,BK1,Block Tags,Unchecked,1
,Base Bid,,,,,,None,NORTH AND SOUTH,S-7,BK1,Block Tags,Unchecked,1
,Base Bid,,,,,,None,NORTH AND SOUTH,N-3,BK1,Block Tags,Unchecked,1
,Base Bid,,,,,,None,NORTH AND SOUTH,N-8,BK1,Block Tags,Unchecked,1
,Base Bid,,,,,,None,NORTH AND SOUTH,N-8,BK1,Block Tags,Unchecked,1
,Base Bid,,,,,,None,NORTH AND SOUTH,S-3,BK1,Block Tags,Unchecked,1
,Base Bid,,,,,,None,NORTH AND SOUTH,S-5,BK1,Block Tags,Unchecked,1
,Base Bid,,,,,,None,NORTH AND SOUTH,N-2,BK1,Block Tags,Unchecked,1
,Base Bid,,,,,,None,NORTH AND SOUTH,N-5,BK1,Block Tags,Unchecked,1
,Base Bid,,,,,,None,NORTH AND SOUTH,N-8,BK1,Block Tags,Unchecked,1
,Base Bid,,,,,,None,NORTH AND SOUTH,S-1,BK1,Block Tags,Unchecked,1
,Base Bid,,,,,,None,NORTH AND SOUTH,N-7,BK1,Block Tags,Unchecked,1
,Base Bid,,,,,,None,NORTH AND SOUTH,N-4,BK1,Block Tags,Unchecked,1
,Base Bid,,,,,,None,NORTH AND SOUTH,S-8,BK1,Block Tags,Unchecked,1
,Base Bid,,,,,,None,NORTH AND SOUTH,S-1,BK1,Block Tags,Unchecked,1
,Base Bid,,,,,,None,NORTH AND SOUTH,S-6,BK1,Block Tags,Unchecked,1
,Base Bid,,,,,,None,NORTH AND SOUTH,N-9,BK1,Block Tags,Unchecked,1
,Base Bid,,,,,,None,NORTH AND SOUTH,S-5,BK1,Block Tags,Unchecked,1
,Base Bid,,,,,,None,NORTH AND SOUTH,N-1,BK1,Block Tags,Unchecked,1
,Base Bid,,,,,,None,NORTH AND SOUTH,N-1,BK1,Block Tags,Unchecked,1
,Base Bid,,,,,,None,NORTH AND SOUTH,S-5,BK1,Block Tags,Unchecked,1
,Base Bid,,,,,,None,NORTH AND SOUTH,S-4,BK1,Block Tags,Unchecked,1
,Base Bid,,,,,,None,NORTH AND SOUTH,N-3,BK1,Block Tags,Unchecked,1
,Base Bid,,,,,,None,NORTH AND SOUTH,N-2,BK1,Block Tags,Unchecked,1
,Base Bid,,,,,,None,NORTH AND SOUTH,S-5,BK1,Block Tags,Unchecked,1
,Base Bid,,,,,,None,NORTH AND SOUTH,S-1,BK1,Block Tags,Unchecked,1
,Base Bid,,,,,,None,NORTH AND SOUTH,S-2,BK1,Block Tags,Unchecked,1
,Base Bid,,,,,,None,NORTH AND SOUTH,S-9,BK1,Block Tags,Unchecked,1
,Base Bid,,,,,,None,NORTH AND SOUTH,N-7,BK1,Block Tags,Unchecked,1
,Base Bid,,,,,,None,NORTH AND SOUTH,S-3,BK1,Block Tags,Unchecked,1
